ID,Name,Lat,Lon,Type
202,Unnamed Road,19.24461588,72.94623533,
203,"0, Khairne Gaonthan Rd, Bonkode, Sector 12D, Sector 12, Kopar Khairane",19.09672603,73.01154402,
204,Maharashtra District Road 6,19.01482633,73.11779966,
205,"0/4, Reti Bander Cross Rd, Reti Bunder, Mothagaon, Dombivli West",19.23141713,73.08001123,
206,Unnamed Road,19.2451985,73.02758639,
207,Ram Nivas,19.00956453,72.81876594,
208,"200, Friends Colony",19.07669544,72.88092054,
209,"WING D, Palm Beach Rd, Sector 4, Sarsole",19.04489553,73.00292531,
210,"0, C Buddha Vihar Marg, Dalal Estate, Kamathipura",18.96525544,72.82901036,
211,"0-192, Panjrapol Rte, Marine Lines East, Gulal Wadi, Bhuleshwar",18.95488366,72.82769452,
212,Tarodi Rd,19.30708011,72.79121414,
213,Kalyan - Shilphata Rd,19.17205067,73.08115191,
214,Sai Saburi Co Operative Housing Society,19.14357854,72.99343451,
215,"0, Veena Sitar",19.20854092,72.83801905,
216,Gorai - Borivali Rd,19.24289213,72.79524108,
217,Dropadi Amrut,19.1853617,72.97583405,
218,Gorai - Borivali Rd,19.23896181,72.80737708,
219,"D-8/304, Ramdev Park Rd, Vagad Nagar, Ranuja Ramdev Park, Mira Road East",19.29884207,72.87108351,
220,Utsav Chowk - CISF Rd,19.06820089,73.07978159,
221,Kalyan - Badlapur Rd,19.23098912,73.15230842,
222,Ali Talao Rd,19.18857658,72.81860569,
223,Shiv Sena Gali,19.29744633,72.87983588,
224,"0, Sai Nagar",19.13739544,72.93811393,
225,"100, Senapati Bapat Marg, Mahalaxmi Sindhi Colony, Matunga West",19.02421949,72.84651624,
226,"0, Ganesh Nagar",19.1320332,72.88035649,
227,Uttan Rd,19.24625345,72.78242025,
228,A-101,19.14266471,72.80792442,
229,Alibaug Rd,19.27808655,72.78146266,
230,Shatrunjay Darshan,18.97323755,72.83438107,
231,Corridor Rd,19.00995179,72.89959231,
232,Andheri - Ghatkopar Rd,19.10287738,72.88857737,
233,Mumbai - Pune Expy,18.99438283,73.13139486,
234,"AL-5/32, Mugalsan Rd, Sector 17, Airoli",19.15440176,72.99366788,
235,Golibar Rd,19.28759501,72.94880642,
236,SG Barve Rd,19.18950874,72.95509605,
237,D-21A,19.07085567,73.03313942,
